"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"SEN",2017-06-01,1,4,1,7,19,10,70,"Africa","Senegal"
"SGP",2017-06-01,0,3,1,16,75,38,42.1,"Asia","Singapore"
"SRB",2017-06-01,0,4,2,2,130,96,2.1,"Europe","Serbia"
"SVK",2017-06-01,3,10,3,24,124,62,38.7,"Europe","Slovakia"
"SVN",2017-06-01,2,8,3,15,107,55,27.3,"Europe","Slovenia"
"SWE",2017-06-01,13,146,67,190,1786,900,21.1,"Europe","Sweden"
"TUN",2017-06-01,1,2,1,18,74,36,50,"Africa","Tunisia"
"TUR",2017-06-01,1,4,4,97,459,236,41.1,"Europe","Turkey"
"TWN",2017-06-01,0,2,1,11,69,34,32.4,"Asia","Taiwan"
"UKR",2017-06-01,1,5,3,19,127,64,29.7,"Europe","Ukraine"
"URY",2017-06-01,1,2,1,7,66,30,23.3,"Americas","Uruguay"
"USA",2017-06-01,37,331,150,378,3521,1746,21.6,"Americas","United States"
"UZB",2017-06-01,0,1,1,2,6,4,50,"Europe","Uzbekistan"
"VEN",2017-06-01,0,3,1,12,52,25,48,"Americas","Venezuela"
"VNM",2017-06-01,0,2,1,2,12,6,33.3,"Asia","Vietnam"
"ZAF",2017-06-01,1,10,4,28,125,64,43.8,"Africa","South Africa"
"AGO",2017-07-01,4,9,5,199,625,348,57.2,"Africa","Angola"
"AND",2017-07-01,0,3,1,3,13,5,60,"Europe","Andorra"
"ARE",2017-07-01,2,7,3,43,111,50,86,"Africa","United Arab Emirates"
"ARG",2017-07-01,3,22,10,52,445,207,25.1,"Americas","Argentina"
"ARM",2017-07-01,0,5,1,2,18,8,25,"Europe","Armenia"
"AUS",2017-07-01,20,93,43,102,796,393,26,"Asia","Australia"
"AUT",2017-07-01,11,132,60,219,2399,1212,18.1,"Europe","Austria"
"AZE",2017-07-01,0,3,1,7,38,15,46.7,"Europe","Azerbaijan"
"BEL",2017-07-01,59,546,223,439,4616,2218,19.8,"Europe","Belgium"
"BGD",2017-07-01,1,2,1,9,31,12,75,"Asia","Bangladesh"
"BGR",2017-07-01,0,2,1,12,139,71,16.9,"Europe","Bulgaria"
"BLR",2017-07-01,0,2,1,4,32,20,20,"Europe","Belarus"
